fid,sisid,sci_name,presence,origin,seasonal,source,compiler,yrcompiled,data_sens,sens_comm,dist_comm,tax_comm,generalisd,version,yrmodified,citation,Shape_Length,Shape_Area
1,22689362,Aegolius funereus,1,1,1,"Ding, 2001; Ridgley, 2003; Cramp, 1997; Flint, 1984; del Hoyo et al 1999, Konig & Weick 2008, Brazil 2009; Hayward & Hayward, 1993; Xeno-canto 2021; Munro et al. 2016","Rob Martin, Richard Johnson (BirdLife International); Lucy Haskell (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,2289.984726,3544.680308
2,22689362,Aegolius funereus,1,1,3,"Cramp, 1997","Rob Martin, Richard Johnson (BirdLife International);",2021,0, , , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,6.885176217,0.305903882
3,22687583,Amazilia beryllina,1,1,1,"Howell and Webb, 1995; Martin et al., 2016; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,73.88107947,59.07333115
4,22721135,Ammospiza leconteii,1,1,2,"Peterson, 1980; Peterson, 1990","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,510.170457,384.9611684
5,22721135,Ammospiza leconteii,1,1,3,"Peterson, 1980; Peterson, 1990; Howell and Webb, 1995","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,177.074729,141.3040799
6,22721135,Ammospiza leconteii,1,1,4,"Sibley, 2000","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,83.78798033,135.604363
7,22721194,Amphispiza bilineata,1,1,1,"Sibley, 2000; Howell and Webb, 1995; Poole & Gill, 1992-2002; del Hoyo et al, 2011","NatureServe, 2005; Anna Motis (HBW)",2021,0, ,,,0,2022.1,2018,BirdLife International and Handbook of the Birds of the World,137.4084139,148.5151157
8,22721194,Amphispiza bilineata,1,1,2,"Sibley, 2000; Poole & Gill, 1992-2002","NatureServe, 2005",2021,0, ,,,0,2022.1,2015,BirdLife International and Handbook of the Birds of the World,90.86254756,87.61697179
9,22721194,Amphispiza bilineata,1,1,3,"eBird, 2020",Claudia Hermes (BirdLife International),2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,14.20791579,6.407768578
10,22721194,Amphispiza bilineata,1,1,4,"eBird, 2020",Claudia Hermes (BirdLife International),2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,9.914815267,3.586253222
11,22692109,Anthropoides paradiseus,1,1,1,BirdLife International; SABAP 2; Morrison et al. 2019,BirdLife International; Hannah Wheatley (BirdLife International); Rob Martin (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,84.17686133,52.46377588
12,22692109,Anthropoides paradiseus,1,1,5,BirdLife International; SABAP 2; Morrison et al. 2019,BirdLife International; Hannah Wheatley (BirdLife International); Rob Martin (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,7.848828464,0.618978394
13,22689522,Asio clamator,1,1,1,"Ridgely, 2002; eBird, 2021","Rob Martin (BirdLife International), WWF-US, 2000; NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, , ,"See Olson (1995) for placing this species in Pseudoscops rather than Asio, where usually placed.",0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,468.2928757,785.7109592
14,22689507,Asio otus,1,1,2,"Cramp, 1997; del Hoyo et al, 1999; Poole and Gill, 1992; EBBA2 2021",Rob Martin (BirdLife International); Hannah Wheatley (BirdLife International); Lucy Haskell (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,1208.476825,1069.282109
