#no	Lineage_Name	found	tested	vector_species	method	country	site	Reference_Name	comment
1	ACCTAC01	 	 	Coquillettidia aurites	PCR, head and thorax	Cameroon	Ndibi	Njabo et al 2009	 
2	ACCTAC01	 	 	Coquillettidia aurites	PCR, head and thorax	Cameroon	Nkouak	Njabo et al 2009	 
3	AEDSCA01	 	 	Ochlerotatus scapularis	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
4	AEDTAE01	 	 	Ochlerotatus taeniorhynchus	PCR, head and thorax	Mexico	Socorro Island	Carlson et al 2011	 
5	AEDTAE02	 	 	Ochlerotatus taeniorhynchus	PCR, head and thorax	Mexico	Socorro Island	Carlson et al 2011	 
6	AEDTAE03	 	 	Ochlerotatus taeniorhynchus	PCR, head and thorax	Mexico	Socorro Island	Carlson et al 2011	 
7	AEDTAE04	 	 	Ochlerotatus taeniorhynchus	PCR, head and thorax	Mexico	Socorro Island	Carlson et al 2011	 
8	AEDTAE05	 	 	Ochlerotatus taeniorhynchus	PCR, head and thorax	Mexico	Socorro Island	Carlson et al 2011	 
9	AEDTAE06	 	 	Ochlerotatus taeniorhynchus	PCR, head and thorax	Mexico	Socorro Island	Carlson et al 2011	 
10	AEDVEX01	 	 	Aedes vexans	PCR, head and thorax	Turkey	 	Inci et al 2012	 
11	AEESO01	 	 	Aedes esoensis	PCR, thorax, unfed	Japan	Kushiro Zoo	Ejiri et al 2011c	 
12	AEESO02	 	 	Aedes esoensis	PCR, abdomen, blood filled	Japan	Kushiro Zoo	Ejiri et al 2011c	blood-source Cervus nippon yesoensis
13	AFTRU5	1	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
14	AFTRU5	 	 	Culex pipiens	PCR, head and thorax	Switzerland	Dorigny, Lausanne	Lalubin et al 2013	 
15	ASOT06	1	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
16	ASOT06	1	35	Simulium angustipes	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
17	BLUTI09	 	 	Culicoides circumscriptus	PCR, mosquitoes without blood meals	Spain	Donana National Park	Ferraguti et al 2013b	 
18	BT2	1	164	Simulium vernum	PCR, mosquitoes without blood meals	Czech Republic	Fláje Dam	Synek et al 2016	In nests of Aegolius funereus
19	BT7	 	 	Culex sasai	PCR, abdomen with blood meal	Japan	 	Kim et al 2009a	 
20	BUBT3	1	35	Simulium angustipes	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
21	BUBT3	1	10	Simulium lundstromi	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
22	BUL07	1	45	Uranotaenia alboabdominalis	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
23	BUL07	1	6	Uranotaenia neireti	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
24	BUTBUT03	3	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
25	BUVIR03	3	 	Simulium silvestre	PCR , whole mosquitoes	United States	Gothic	Murdock et al 2015	Number found = positive pools of 5 blackflies
26	CAMRUB01	 	 	Psorophora discrucians	PCR , whole mosquitoes	Brazil	Mata Seca State Park	Ferreira et al 2016	1 pool postive / 173 pools tested (1435 mosquitoes)
27	CARFLA04	1	 	Simulium silvestre	PCR , whole mosquitoes	United States	Gothic	Murdock et al 2015	Number found = positive pools of 5 blackflies
28	CB1	12	 	Simulium silvestre	PCR , whole mosquitoes	United States	Gothic	Murdock et al 2015	Number found = positive pools of 5 blackflies
29	CCF4	 	 	Culicoides segnis	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
30	CIRCUM01	 	 	Culicoides circumscriptus	PCR, mosquitoes without blood meals	Spain	Donana National Park	Ferraguti et al 2013b	 
31	CIRCUM02	 	 	Culicoides circumscriptus	PCR, mosquitoes without blood meals	Spain	Donana National Park	Ferraguti et al 2013b	 
32	CIRCUM03	 	 	Culicoides circumscriptus	PCR, mosquitoes without blood meals	Spain	Donana National Park	Ferraguti et al 2013b	 
33	CIRCUM05	1	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
34	CIRCUM05	 	 	Culicoides circumscriptus	PCR, mosquitoes without blood meals	Spain	Donana National Park	Ferraguti et al 2013b	 
35	CNEORN01	1	 	Simulium silvestre	PCR , whole mosquitoes	United States	Gothic	Murdock et al 2015	Number found = positive pools of 5 blackflies
36	COBRA02	1	 	Simulium silvestre	PCR , whole mosquitoes	United States	Gothic	Murdock et al 2015	Number found = positive pools of 5 blackflies
37	COBRA05	1	 	Simulium silvestre	PCR , whole mosquitoes	United States	Gothic	Murdock et al 2015	Number found = positive pools of 5 blackflies
38	COCOR03	1	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
39	COCOR09	1	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
40	COCOR12	1	1	Simulium aureum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
41	COCOR13	3	35	Simulium angustipes	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
42	COCOR13	1	10	Simulium lundstromi	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
43	COCOR13	1	18	Simulium rubzovianum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
