"","x"
"1","Abroscopus superciliaris"
"2","Pipile cujubi"
"3","Acrocephalus aedon"
"4","Aegithalos caudatus"
"5","Emberiza elegans"
"6","Emberiza pusilla"
"7","Parus major"
"8","Poecile montanus"
"9","Parus venustulus"
"10","Phylloscopus proregulus"
"11","Sitta europaea"
"12","Luscinia cyanura"
"13","Carduelis flammea"
"14","Loxia leucoptera"
"15","Poecile hudsonica"
"16","Empidonax alnorum"
"17","Empidonax flaviventris"
"18","Empidonax hammondii"
"19","Junco hyemalis"
"20","Melospiza lincolnii"
"21","Passerculus sandwichensis"
"22","Dendroica coronata"
"23","Setophaga striata"
"24","Zonotrichia leucophrys"
"25","Cyanistes caeruleus"
"26","Periparus ater"
"27","Fringilla coelebs"
"28","Acrocephalus agricola"
"29","Acanthagenys rufogularis"
"30","Himantopus himantopus"
"31","Accipiter francesiae"
"32","Accipiter madagascariensis"
"33","Accipiter gularis"
"34","Accipiter nisus"
"35","Accipiter soloensis"
"36","Ficedula albicollis"
"37","Mirafra rufocinnamomea"
"38","Neocichla gutturalis"
"39","Tockus alboterminatus"
"40","Crex crex"
"41","Ficedula hypoleuca"
"42","Merops apiaster"
"43","Accipiter trivirgatus"
"44","Acrocephalus dumetorum"
"45","Acrocephalus scirpaceus"
"46","Acrocephalus newtoni"
"47","Nesillas typica"
"48","Acrocephalus arundinaceus"
"49","Actenoides lindsayi"
"50","Adelomyia melanogenys"
"51","Emberiza melanocephala"
"52","Aegolius funereus"
"53","Emberiza godlewskii"
"54","Ficedula parva"
"55","Aegithalos concinnus"
"56","Stachyris ruficeps"
"57","Alcippe morrisonia"
"58","Sylvia borin"
"59","Dicrurus adsimilis"
"60","Euplectes capensis"
"61","Nectarinia venusta"
"62","Gymnoris superciliaris"
"63","Ploceus ocularis"
"64","Ploceus velatus"
"65","Pytilia melba"
"66","Quelea quelea"
"67","Columba palumbus"
"68","Streptopelia turtur"
"69","Trachyphonus vaillantii"
"70","Corvus albicollis"
"71","Cisticola brachypterus"
"72","Emberiza flaviventris"
"73","Ispidina picta"
"74","Laniarius ferrugineus"
"75","Cinnyris mediocris"
"76","Ploceus baglafecht"
"77","Batis dimorpha"
"78","Chrysococcyx klaas"
"79","Nectarinia afra"
"80","Andropadus tephrolaemus"
